全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
4900,unknown,2340,11-17,16,0.9456806,1,False
4901,unknown,2341,11-17,16,0.9478799,1,False
4902,unknown,2342,11-17,16,0.94755214,1,False
4903,unknown,2343,11-17,16,0.9468601,-1,True
4904,unknown,2344,11-17,16,0.9467772,1,False
4905,unknown,2345,11-17,16,0.94764864,1,False
4906,unknown,2346,11-17,16,0.9456073,1,False
4907,unknown,2347,11-17,16,0.9449102,1,False
4908,unknown,2348,11-17,16,0.94640696,1,False
4909,unknown,2349,11-17,16,0.9471268,1,False
4910,unknown,2350,11-17,16,0.9448603,1,False
4911,unknown,2351,11-17,16,0.94582,1,False
4912,unknown,2352,11-17,16,0.944993,1,False
4913,unknown,2353,11-17,16,0.9466562,1,False
4914,unknown,2354,11-17,16,0.94687295,1,False
4915,unknown,2355,11-17,16,0.9472406,1,False
4916,unknown,2356,11-17,16,0.9462188,1,False
4917,unknown,2357,11-17,16,0.946636,1,False
4918,unknown,2358,11-17,16,0.9464791,1,False
4919,unknown,2359,11-17,16,0.9454965,1,False
4920,unknown,2360,11-17,16,0.9459174,1,False
4921,unknown,2361,11-17,16,0.94654053,-1,True
4922,unknown,2362,11-17,16,0.94646555,1,False
4923,unknown,2363,11-17,16,0.9455667,1,False
4924,unknown,2364,11-17,16,0.94457304,1,False
4925,unknown,2365,11-17,16,0.9461422,1,False
4926,unknown,2366,11-17,16,0.9450972,1,False
4927,unknown,2367,11-17,16,0.9471427,1,False
4928,unknown,2368,11-17,16,0.94596714,1,False
4929,unknown,2369,11-17,16,0.9454156,1,False
4930,unknown,2370,11-17,16,0.94650954,1,False
4931,unknown,2371,11-17,16,0.9460731,1,False
4932,unknown,2372,11-17,16,0.9421521,1,False
4933,unknown,2373,11-17,16,0.94773775,1,False
4934,unknown,2374,11-17,16,0.9470956,1,False
4935,unknown,2375,11-17,16,0.94699514,1,False
4936,unknown,2376,11-17,16,0.9458636,1,False
4937,unknown,2377,11-17,16,0.94673294,1,False
4938,unknown,2378,11-17,16,0.94798464,1,False
4939,unknown,2379,11-17,16,0.9455702,1,False
4940,unknown,2380,11-17,16,0.9458684,1,False
4941,unknown,2381,11-17,16,0.9460894,1,False
4942,unknown,2382,11-17,16,0.94594705,1,False
4943,unknown,2383,11-17,16,0.9452135,1,False
4944,unknown,2384,11-17,16,0.9457791,7,False
4945,unknown,2385,11-17,16,0.9460621,1,False
4946,unknown,2386,11-17,16,0.9461451,1,False
4947,unknown,2387,11-17,16,0.94547236,1,False
4948,unknown,2388,11-17,16,0.9475641,1,False
4949,unknown,2389,11-17,16,0.9470615,1,False
4950,unknown,2390,11-17,16,0.94591206,1,False
4951,unknown,2391,11-17,16,0.94702595,1,False
4952,unknown,2392,11-17,16,0.9458248,1,False
4953,unknown,2393,11-17,16,0.9468351,1,False
4954,unknown,2394,11-17,16,0.9470951,1,False
4955,unknown,2395,11-17,16,0.94528496,1,False
4956,unknown,2396,11-17,16,0.9458479,1,False
4957,unknown,2397,11-17,16,0.9472925,1,False
4958,unknown,2398,11-17,16,0.946639,1,False
4959,unknown,2399,11-17,16,0.94478786,1,False
4960,unknown,2400,14-10,16,0.9696901,1,False
4961,unknown,2401,14-10,16,0.9694242,1,False
4962,unknown,2402,14-10,16,0.96972054,1,False
4963,unknown,2403,14-10,16,0.9697277,1,False
4964,unknown,2404,14-10,16,0.9697244,1,False
4965,unknown,2405,14-10,16,0.96943927,1,False
4966,unknown,2406,14-10,16,0.9688468,1,False
4967,unknown,2407,14-10,16,0.96920705,1,False
4968,unknown,2408,14-10,16,0.9692831,1,False
4969,unknown,2409,14-10,16,0.96904933,1,False
4970,unknown,2410,14-10,16,0.9692779,1,False
4971,unknown,2411,14-10,16,0.969303,1,False
4972,unknown,2412,14-10,16,0.9697499,1,False
4973,unknown,2413,14-10,16,0.9692964,1,False
4974,unknown,2414,14-10,16,0.96948594,1,False
4975,unknown,2415,14-10,16,0.9697298,1,False
4976,unknown,2416,14-10,16,0.9692956,1,False
4977,unknown,2417,14-10,16,0.96979904,1,False
4978,unknown,2418,14-10,16,0.9692087,1,False
4979,unknown,2419,14-10,16,0.96967185,1,False
4980,unknown,2420,14-10,16,0.96930707,1,False
4981,unknown,2421,14-10,16,0.96968484,1,False
4982,unknown,2422,14-10,16,0.9697921,1,False
4983,unknown,2423,14-10,16,0.9695003,1,False
4984,unknown,2424,14-10,16,0.96969616,1,False
4985,unknown,2425,14-10,16,0.969108,1,False
4986,unknown,2426,14-10,16,0.96933377,1,False
4987,unknown,2427,14-10,16,0.96916527,1,False
4988,unknown,2428,14-10,16,0.96962315,1,False
4989,unknown,2429,14-10,16,0.9691911,1,False
4990,unknown,2430,14-10,16,0.969613,1,False
4991,unknown,2431,14-10,16,0.9694093,1,False
4992,unknown,2432,14-10,16,0.96869904,1,False
4993,unknown,2433,14-10,16,0.9695845,1,False
4994,unknown,2434,14-10,16,0.9693162,1,False
4995,unknown,2435,14-10,16,0.9693112,1,False
4996,unknown,2436,14-10,16,0.969725,1,False
4997,unknown,2437,14-10,16,0.9697007,1,False
4998,unknown,2438,14-10,16,0.9695888,1,False
4999,unknown,2439,14-10,16,0.9692466,1,False
5000,unknown,2440,14-10,16,0.9695426,1,False
5001,unknown,2441,14-10,16,0.9693737,1,False
5002,unknown,2442,14-10,16,0.9695173,1,False
5003,unknown,2443,14-10,16,0.9694157,1,False
5004,unknown,2444,14-10,16,0.96909255,1,False
5005,unknown,2445,14-10,16,0.9697799,1,False
5006,unknown,2446,14-10,16,0.96966946,1,False
5007,unknown,2447,14-10,16,0.96975094,1,False
5008,unknown,2448,14-10,16,0.96984816,1,False
5009,unknown,2449,14-10,16,0.96972775,1,False
5010,unknown,2450,14-10,16,0.9693538,1,False
5011,unknown,2451,14-10,16,0.96977645,1,False
5012,unknown,2452,14-10,16,0.9698009,1,False
5013,unknown,2453,14-10,16,0.96948904,1,False
5014,unknown,2454,14-10,16,0.96920234,1,False
5015,unknown,2455,14-10,16,0.96952075,1,False
5016,unknown,2456,14-10,16,0.96919644,1,False
5017,unknown,2457,14-10,16,0.96948045,1,False
5018,unknown,2458,14-10,16,0.96900344,1,False
5019,unknown,2459,14-10,16,0.9694154,1,False
5020,unknown,2460,14-10,16,0.96939886,1,False
5021,unknown,2461,14-10,16,0.969154,1,False
5022,unknown,2462,14-10,16,0.9690686,1,False
5023,unknown,2463,14-10,16,0.97003216,1,False
5024,unknown,2464,14-10,16,0.96931386,1,False
5025,unknown,2465,14-10,16,0.9695011,1,False
5026,unknown,2466,14-10,16,0.96960247,1,False
5027,unknown,2467,14-10,16,0.96906126,1,False
5028,unknown,2468,14-10,16,0.9690889,1,False
5029,unknown,2469,14-10,16,0.9695262,1,False
5030,unknown,2470,14-10,16,0.96952,1,False
5031,unknown,2471,14-10,16,0.96946836,1,False
5032,unknown,2472,14-10,16,0.96968114,1,False
5033,unknown,2473,14-10,16,0.9693754,1,False
5034,unknown,2474,14-10,16,0.96977115,1,False
5035,unknown,2475,14-10,16,0.969559,1,False
5036,unknown,2476,14-10,16,0.9693153,1,False
5037,unknown,2477,14-10,16,0.96949846,1,False
5038,unknown,2478,14-10,16,0.9691325,1,False
5039,unknown,2479,14-10,16,0.9695057,1,False
5040,unknown,2480,14-10,16,0.9697,1,False
5041,unknown,2481,14-10,16,0.9693718,1,False
5042,unknown,2482,14-10,16,0.96908456,1,False
5043,unknown,2483,14-10,16,0.96983796,1,False
5044,unknown,2484,14-10,16,0.9698195,1,False
5045,unknown,2485,14-10,16,0.9697223,1,False
5046,unknown,2486,14-10,16,0.9695228,1,False
5047,unknown,2487,14-10,16,0.9694798,1,False
5048,unknown,2488,14-10,16,0.9689009,1,False
5049,unknown,2489,14-10,16,0.96908027,1,False
5050,unknown,2490,14-10,16,0.9687374,1,False
5051,unknown,2491,14-10,16,0.96919245,1,False
5052,unknown,2492,14-10,16,0.9693989,1,False
5053,unknown,2493,14-10,16,0.9696096,1,False
5054,unknown,2494,14-10,16,0.9696759,1,False
5055,unknown,2495,14-10,16,0.9691379,1,False
5056,unknown,2496,14-10,16,0.969191,1,False
5057,unknown,2497,14-10,16,0.9697626,1,False
5058,unknown,2498,14-10,16,0.9697183,1,False
5059,unknown,2499,14-10,16,0.96930414,1,False
5060,unknown,2500,14-10,16,0.96925664,1,False
5061,unknown,2501,14-10,16,0.9692124,1,False
5062,unknown,2502,14-10,16,0.96983147,1,False
5063,unknown,2503,14-10,16,0.9692286,1,False
5064,unknown,2504,14-10,16,0.96928066,1,False
5065,unknown,2505,14-10,16,0.9694679,1,False
5066,unknown,2506,14-10,16,0.9687871,1,False
5067,unknown,2507,14-10,16,0.96931446,1,False
5068,unknown,2508,14-10,16,0.969155,1,False
5069,unknown,2509,14-10,16,0.96949565,1,False
5070,unknown,2510,14-10,16,0.96958876,1,False
5071,unknown,2511,14-10,16,0.9692339,1,False
5072,unknown,2512,14-10,16,0.9690519,1,False
5073,unknown,2513,14-10,16,0.9697823,1,False
5074,unknown,2514,14-10,16,0.9692862,1,False
5075,unknown,2515,14-10,16,0.96917844,1,False
5076,unknown,2516,14-10,16,0.9695898,1,False
5077,unknown,2517,14-10,16,0.96929073,1,False
5078,unknown,2518,14-10,16,0.968768,1,False
5079,unknown,2519,14-10,16,0.969294,1,False
5080,unknown,2520,14-10,16,0.96929324,1,False
5081,unknown,2521,14-10,16,0.96976566,1,False
5082,unknown,2522,14-10,16,0.96939176,1,False
5083,unknown,2523,14-10,16,0.96925807,1,False
5084,unknown,2524,14-10,16,0.968786,1,False
5085,unknown,2525,14-10,16,0.9693297,1,False
5086,unknown,2526,14-10,16,0.9697523,1,False
5087,unknown,2527,14-10,16,0.969512,1,False
5088,unknown,2528,14-10,16,0.96931386,1,False
5089,unknown,2529,14-10,16,0.9696064,1,False
5090,unknown,2530,14-10,16,0.9698231,1,False
5091,unknown,2531,14-10,16,0.9698082,1,False
5092,unknown,2532,14-10,16,0.9696783,1,False
5093,unknown,2533,14-10,16,0.9694888,1,False
5094,unknown,2534,14-10,16,0.969174,1,False
5095,unknown,2535,14-10,16,0.96920913,1,False
5096,unknown,2536,14-10,16,0.9696607,1,False
5097,unknown,2537,14-10,16,0.9692957,1,False
5098,unknown,2538,14-10,16,0.9694698,1,False
5099,unknown,2539,14-10,16,0.9692463,1,False
5100,unknown,2540,14-10,16,0.96953773,1,False
5101,unknown,2541,14-10,16,0.9693835,1,False
5102,unknown,2542,14-10,16,0.9692149,1,False
5103,unknown,2543,14-10,16,0.9692484,1,False
5104,unknown,2544,14-10,16,0.9694993,1,False
5105,unknown,2545,14-10,16,0.9696911,1,False
5106,unknown,2546,14-10,16,0.96905744,1,False
5107,unknown,2547,14-10,16,0.9696262,1,False
5108,unknown,2548,14-10,16,0.9697858,1,False
5109,unknown,2549,14-10,16,0.9692572,1,False
5110,unknown,2550,14-10,16,0.96904445,1,False
5111,unknown,2551,14-10,16,0.96982896,1,False
5112,unknown,2552,14-10,16,0.969331,1,False
5113,unknown,2553,14-10,16,0.969639,1,False
5114,unknown,2554,14-10,16,0.9692102,1,False
5115,unknown,2555,14-10,16,0.9694248,1,False
5116,unknown,2556,14-10,16,0.9692219,1,False
5117,unknown,2557,14-10,16,0.9698676,1,False
5118,unknown,2558,14-10,16,0.9692531,1,False
5119,unknown,2559,14-10,16,0.9688593,1,False
5120,unknown,2560,14-10,16,0.96966887,1,False
5121,unknown,2561,14-10,16,0.9696869,1,False
5122,unknown,2562,14-10,16,0.9694725,1,False
5123,unknown,2563,14-10,16,0.9695662,1,False
5124,unknown,2564,14-10,16,0.96975845,1,False
5125,unknown,2565,14-10,16,0.9694697,1,False
5126,unknown,2566,14-10,16,0.9690751,1,False
5127,unknown,2567,14-10,16,0.96939266,1,False
5128,unknown,2568,14-10,16,0.9693652,1,False
5129,unknown,2569,14-10,16,0.9696841,1,False
5130,unknown,2570,14-10,16,0.96898615,1,False
5131,unknown,2571,14-10,16,0.9696896,1,False
5132,unknown,2572,14-10,16,0.9694878,1,False
5133,unknown,2573,14-10,16,0.9691825,1,False
5134,unknown,2574,14-10,16,0.96914756,1,False
5135,unknown,2575,14-10,16,0.96896195,1,False
5136,unknown,2576,14-10,16,0.96958345,1,False
5137,unknown,2577,14-10,16,0.9691869,1,False
5138,unknown,2578,14-10,16,0.96942323,1,False
5139,unknown,2579,14-10,16,0.96900284,1,False
5140,unknown,2580,14-10,16,0.96966946,1,False
5141,unknown,2581,14-10,16,0.96952695,1,False
5142,unknown,2582,14-10,16,0.9689955,1,False
5143,unknown,2583,14-10,16,0.96981096,1,False
5144,unknown,2584,14-10,16,0.96930707,1,False
5145,unknown,2585,14-10,16,0.969028,1,False
5146,unknown,2586,14-10,16,0.9690876,1,False
5147,unknown,2587,14-10,16,0.9693674,1,False
5148,unknown,2588,14-10,16,0.9696943,1,False
5149,unknown,2589,14-10,16,0.96983373,1,False
5150,unknown,2590,14-10,16,0.9697253,1,False
5151,unknown,2591,14-10,16,0.9695745,1,False
5152,unknown,2592,14-10,16,0.96932375,1,False
5153,unknown,2593,14-10,16,0.9692475,1,False
5154,unknown,2594,14-10,16,0.96994597,1,False
5155,unknown,2595,14-10,16,0.96918976,1,False
5156,unknown,2596,14-10,16,0.96972924,1,False
5157,unknown,2597,14-10,16,0.96948683,1,False
5158,unknown,2598,14-10,16,0.96936333,1,False
5159,unknown,2599,14-10,16,0.9694996,1,False
5160,unknown,2600,14-10,16,0.9697277,1,False
5161,unknown,2601,14-10,16,0.96929806,1,False
5162,unknown,2602,14-10,16,0.9692919,1,False
5163,unknown,2603,14-10,16,0.9697295,1,False
5164,unknown,2604,14-10,16,0.9696721,1,False
5165,unknown,2605,14-10,16,0.9697163,1,False
5166,unknown,2606,14-10,16,0.9693502,1,False
5167,unknown,2607,14-10,16,0.96934175,1,False
5168,unknown,2608,14-10,16,0.96932095,1,False
5169,unknown,2609,14-10,16,0.9690088,1,False
5170,unknown,2610,14-10,16,0.9696235,1,False
5171,unknown,2611,14-10,16,0.96961063,1,False
5172,unknown,2612,14-10,16,0.96974266,1,False
5173,unknown,2613,14-10,16,0.96978134,1,False
5174,unknown,2614,14-10,16,0.9693171,1,False
5175,unknown,2615,14-10,16,0.96956867,1,False
5176,unknown,2616,14-10,16,0.96957844,1,False
5177,unknown,2617,14-10,16,0.9696248,1,False
5178,unknown,2618,14-10,16,0.9693988,1,False
5179,unknown,2619,14-10,16,0.9697139,1,False
5180,unknown,2620,14-10,16,0.96965146,1,False
5181,unknown,2621,14-10,16,0.9693392,1,False
5182,unknown,2622,14-10,16,0.9692587,1,False
5183,unknown,2623,14-10,16,0.97002274,1,False
5184,unknown,2624,14-10,16,0.9692034,1,False
5185,unknown,2625,14-10,16,0.969205,1,False
5186,unknown,2626,14-10,16,0.9693307,1,False
5187,unknown,2627,14-10,16,0.9695631,1,False
5188,unknown,2628,14-10,16,0.9695176,1,False
5189,unknown,2629,14-10,16,0.9696027,1,False
5190,unknown,2630,14-10,16,0.9696077,1,False
5191,unknown,2631,14-10,16,0.96911395,1,False
5192,unknown,2632,14-10,16,0.96928304,1,False
5193,unknown,2633,14-10,16,0.969404,1,False
5194,unknown,2634,14-10,16,0.96909004,1,False
5195,unknown,2635,14-10,16,0.96970147,1,False
5196,unknown,2636,14-10,16,0.96910536,1,False
5197,unknown,2637,14-10,16,0.96912676,1,False
5198,unknown,2638,14-10,16,0.9695125,1,False
5199,unknown,2639,14-10,16,0.9690023,1,False
5200,unknown,2640,14-10,16,0.9693892,1,False
5201,unknown,2641,14-10,16,0.9693269,1,False
5202,unknown,2642,14-10,16,0.96969503,1,False
5203,unknown,2643,14-10,16,0.96902627,1,False
5204,unknown,2644,14-10,16,0.96937114,1,False
5205,unknown,2645,14-10,16,0.96905494,1,False
5206,unknown,2646,14-10,16,0.969785,1,False
5207,unknown,2647,14-10,16,0.9692355,1,False
5208,unknown,2648,14-10,16,0.9696877,1,False
5209,unknown,2649,14-10,16,0.96933234,1,False
5210,unknown,2650,14-10,16,0.96977574,1,False
5211,unknown,2651,14-10,16,0.969875,1,False
5212,unknown,2652,14-10,16,0.9691705,1,False
5213,unknown,2653,14-10,16,0.969742,1,False
5214,unknown,2654,14-10,16,0.96933675,1,False
5215,unknown,2655,14-10,16,0.9691726,1,False
5216,unknown,2656,14-10,16,0.9686895,1,False
5217,unknown,2657,14-10,16,0.9697796,1,False
5218,unknown,2658,14-10,16,0.9693468,1,False
5219,unknown,2659,14-10,16,0.9684886,1,False
5220,unknown,2660,14-10,16,0.9691931,1,False
5221,unknown,2661,14-10,16,0.96925133,1,False
5222,unknown,2662,14-10,16,0.96960807,1,False
5223,unknown,2663,14-10,16,0.9696587,1,False
5224,unknown,2664,14-10,16,0.9687037,1,False
5225,unknown,2665,14-10,16,0.9691156,1,False
5226,unknown,2666,14-10,16,0.96973765,1,False
5227,unknown,2667,14-10,16,0.9692808,1,False
5228,unknown,2668,14-10,16,0.9698096,1,False
5229,unknown,2669,14-10,16,0.9696983,1,False
5230,unknown,2670,14-10,16,0.9689419,1,False
5231,unknown,2671,14-10,16,0.96960104,1,False
5232,unknown,2672,14-10,16,0.9692123,1,False
5233,unknown,2673,14-10,16,0.968976,1,False
5234,unknown,2674,14-10,16,0.9696619,1,False
5235,unknown,2675,14-10,16,0.9691174,1,False
5236,unknown,2676,14-10,16,0.969542,1,False
5237,unknown,2677,14-10,16,0.9691257,1,False
5238,unknown,2678,14-10,16,0.9698109,1,False
5239,unknown,2679,14-10,16,0.96933675,1,False
5240,unknown,2680,14-10,16,0.96940166,1,False
5241,unknown,2681,14-10,16,0.9696118,1,False
5242,unknown,2682,14-10,16,0.9689172,1,False
5243,unknown,2683,14-10,16,0.96928436,1,False
5244,unknown,2684,14-10,16,0.9692162,1,False
5245,unknown,2685,14-10,16,0.96974427,1,False
5246,unknown,2686,14-10,16,0.9695795,1,False
5247,unknown,2687,14-10,16,0.96913147,1,False
5248,unknown,2688,14-10,16,0.9695184,1,False
5249,unknown,2689,14-10,16,0.96928585,1,False
5250,unknown,2690,14-10,16,0.9689307,1,False
5251,unknown,2691,14-10,16,0.9694475,1,False
5252,unknown,2692,14-10,16,0.9694958,1,False
5253,unknown,2693,14-10,16,0.9696433,1,False
5254,unknown,2694,14-10,16,0.9696578,1,False
5255,unknown,2695,14-10,16,0.96872765,1,False
5256,unknown,2696,14-10,16,0.9696626,1,False
5257,unknown,2697,14-10,16,0.969475,1,False
5258,unknown,2698,14-10,16,0.96982825,1,False
5259,unknown,2699,14-10,16,0.9697537,1,False
5260,unknown,2700,14-10,16,0.96861243,1,False
5261,unknown,2701,14-10,16,0.9697674,1,False
5262,unknown,2702,14-10,16,0.9698642,1,False
5263,unknown,2703,14-10,16,0.96931887,1,False
5264,unknown,2704,14-10,16,0.96900314,1,False
5265,unknown,2705,14-10,16,0.96945703,1,False
5266,unknown,2706,14-10,16,0.96930385,1,False
5267,unknown,2707,14-10,16,0.9692603,1,False
5268,unknown,2708,14-10,16,0.9697728,1,False
5269,unknown,2709,14-10,16,0.9693919,1,False
5270,unknown,2710,14-10,16,0.96950454,1,False
5271,unknown,2711,14-10,16,0.9695588,1,False
5272,unknown,2712,14-10,16,0.969315,1,False
5273,unknown,2713,14-10,16,0.96999305,1,False
5274,unknown,2714,14-10,16,0.96974576,1,False
5275,unknown,2715,14-10,16,0.9691087,1,False
5276,unknown,2716,14-10,16,0.9697311,1,False
5277,unknown,2717,14-10,16,0.96964574,1,False
5278,unknown,2718,14-10,16,0.9696055,1,False
5279,unknown,2719,14-10,16,0.9698143,1,False
5280,unknown,2720,14-10,16,0.96938443,1,False
5281,unknown,2721,14-10,16,0.96953505,1,False
5282,unknown,2722,14-10,16,0.96989805,1,False
5283,unknown,2723,14-10,16,0.96972907,1,False
5284,unknown,2724,14-10,16,0.9692272,1,False
5285,unknown,2725,14-10,16,0.96917844,1,False
5286,unknown,2726,14-10,16,0.96936214,1,False
5287,unknown,2727,14-10,16,0.9696083,1,False
5288,unknown,2728,14-10,16,0.969325,1,False
5289,unknown,2729,14-10,16,0.9696665,1,False
5290,unknown,2730,14-10,16,0.9692769,1,False
5291,unknown,2731,14-10,16,0.9696383,1,False
5292,unknown,2732,14-10,16,0.96908617,1,False
5293,unknown,2733,14-10,16,0.9686969,1,False
5294,unknown,2734,14-10,16,0.9691927,1,False
5295,unknown,2735,14-10,16,0.9696989,1,False
5296,unknown,2736,14-10,16,0.9697225,1,False
5297,unknown,2737,14-10,16,0.96969765,1,False
5298,unknown,2738,14-10,16,0.9692227,1,False
5299,unknown,2739,14-10,16,0.9691167,1,False
5300,unknown,2740,14-10,16,0.969113,1,False
5301,unknown,2741,14-10,16,0.96934533,1,False
5302,unknown,2742,14-10,16,0.96980435,1,False
5303,unknown,2743,14-10,16,0.9689691,1,False
5304,unknown,2744,14-10,16,0.9695958,1,False
5305,unknown,2745,14-10,16,0.9692974,1,False
5306,unknown,2746,14-10,16,0.9692482,1,False
5307,unknown,2747,14-10,16,0.96892583,1,False
5308,unknown,2748,14-10,16,0.9692153,1,False
5309,unknown,2749,14-10,16,0.96914876,1,False
5310,unknown,2750,14-10,16,0.9695697,1,False
5311,unknown,2751,14-10,16,0.9694809,1,False
5312,unknown,2752,14-10,16,0.9697489,1,False
5313,unknown,2753,14-10,16,0.9696778,1,False
5314,unknown,2754,14-10,16,0.9691006,1,False
5315,unknown,2755,14-10,16,0.96921116,1,False
5316,unknown,2756,14-10,16,0.9694698,1,False
5317,unknown,2757,14-10,16,0.9691825,1,False
5318,unknown,2758,14-10,16,0.96897423,1,False
5319,unknown,2759,14-10,16,0.9692193,1,False
5320,unknown,2760,14-10,16,0.96979094,1,False
5321,unknown,2761,14-10,16,0.9693514,1,False
5322,unknown,2762,14-10,16,0.96936095,1,False
5323,unknown,2763,14-10,16,0.9697196,1,False
5324,unknown,2764,14-10,16,0.969486,1,False
5325,unknown,2765,14-10,16,0.9695069,1,False
5326,unknown,2766,14-10,16,0.9692388,1,False
5327,unknown,2767,14-10,16,0.96885127,1,False
5328,unknown,2768,14-10,16,0.96931934,1,False
5329,unknown,2769,14-10,16,0.9692429,1,False
5330,unknown,2770,14-10,16,0.9692836,1,False
5331,unknown,2771,14-10,16,0.96949536,1,False
5332,unknown,2772,14-10,16,0.9689193,1,False
5333,unknown,2773,14-10,16,0.96955585,1,False
5334,unknown,2774,14-10,16,0.96972394,1,False
5335,unknown,2775,14-10,16,0.969216,1,False
5336,unknown,2776,14-10,16,0.96957505,1,False
5337,unknown,2777,14-10,16,0.9697975,1,False
5338,unknown,2778,14-10,16,0.96957695,1,False
5339,unknown,2779,14-10,16,0.96953565,1,False
5340,unknown,2780,14-10,16,0.9700522,1,False
5341,unknown,2781,14-10,16,0.96958435,1,False
5342,unknown,2782,14-10,16,0.9699068,1,False
5343,unknown,2783,14-10,16,0.96993065,1,False
5344,unknown,2784,14-10,16,0.9690212,1,False
5345,unknown,2785,14-10,16,0.9692591,1,False
5346,unknown,2786,14-10,16,0.96924806,1,False
5347,unknown,2787,14-10,16,0.9693732,1,False
5348,unknown,2788,14-10,16,0.96945226,1,False
5349,unknown,2789,14-10,16,0.96978986,1,False
5350,unknown,2790,14-10,16,0.96930856,1,False
5351,unknown,2791,14-10,16,0.9697653,1,False
5352,unknown,2792,14-10,16,0.9694823,1,False
5353,unknown,2793,14-10,16,0.9698789,1,False
5354,unknown,2794,14-10,16,0.96966946,1,False
5355,unknown,2795,14-10,16,0.96947885,1,False
5356,unknown,2796,14-10,16,0.96941364,1,False
5357,unknown,2797,14-10,16,0.96964973,1,False
5358,unknown,2798,14-10,16,0.96943134,1,False
5359,unknown,2799,14-10,16,0.96901506,1,False
5360,unknown,2800,14-10,16,0.9698188,1,False
5361,unknown,2801,14-10,16,0.9686198,1,False
5362,unknown,2802,14-10,16,0.9697599,1,False
5363,unknown,2803,14-10,16,0.9691097,1,False
5364,unknown,2804,14-10,16,0.96905106,1,False
5365,unknown,2805,14-10,16,0.96895504,1,False
5366,unknown,2806,14-10,16,0.9694182,1,False
5367,unknown,2807,14-10,16,0.9688051,1,False
5368,unknown,2808,14-10,16,0.97003055,1,False
5369,unknown,2809,14-10,16,0.96910125,1,False
5370,unknown,2810,14-10,16,0.96973634,1,False
5371,unknown,2811,14-10,16,0.96969163,1,False
5372,unknown,2812,14-10,16,0.96941835,1,False
5373,unknown,2813,14-10,16,0.9695701,1,False
5374,unknown,2814,14-10,16,0.96936584,1,False
5375,unknown,2815,14-10,16,0.96967685,1,False
5376,unknown,2816,14-10,16,0.9691817,1,False
5377,unknown,2817,14-10,16,0.96903425,1,False
5378,unknown,2818,14-10,16,0.9692026,1,False
5379,unknown,2819,14-10,16,0.96945125,1,False
5380,unknown,2820,14-10,16,0.969288,1,False
5381,unknown,2821,14-10,16,0.9693606,1,False
5382,unknown,2822,14-10,16,0.96910745,1,False
5383,unknown,2823,14-10,16,0.96968037,1,False
5384,unknown,2824,14-10,16,0.96906096,1,False
5385,unknown,2825,14-10,16,0.9690889,1,False
5386,unknown,2826,14-10,16,0.969437,1,False
5387,unknown,2827,14-10,16,0.96968585,1,False
5388,unknown,2828,14-10,16,0.9697814,1,False
5389,unknown,2829,14-10,16,0.96966267,1,False
5390,unknown,2830,14-10,16,0.96910864,1,False
5391,unknown,2831,14-10,16,0.9689543,1,False
5392,unknown,2832,14-10,16,0.9693644,1,False
5393,unknown,2833,14-10,16,0.9697227,1,False
5394,unknown,2834,14-10,16,0.9695781,1,False
5395,unknown,2835,14-10,16,0.96966165,1,False
5396,unknown,2836,14-10,16,0.9690854,1,False
5397,unknown,2837,14-10,16,0.9693105,1,False
5398,unknown,2838,14-10,16,0.9691505,1,False
5399,unknown,2839,14-10,16,0.96938634,1,False
5400,unknown,2840,14-10,16,0.9693054,1,False
5401,unknown,2841,14-10,16,0.96905327,1,False
5402,unknown,2842,14-10,16,0.9696245,1,False
5403,unknown,2843,14-10,16,0.969381,1,False
5404,unknown,2844,14-10,16,0.9694026,1,False
5405,unknown,2845,14-10,16,0.9695699,1,False
5406,unknown,2846,14-10,16,0.96879,1,False
5407,unknown,2847,14-10,16,0.9696133,1,False
5408,unknown,2848,14-10,16,0.96938586,1,False
5409,unknown,2849,14-10,16,0.96906525,1,False
5410,unknown,2850,14-10,16,0.96966356,1,False
5411,unknown,2851,14-10,16,0.968884,1,False
5412,unknown,2852,14-10,16,0.9691504,1,False
5413,unknown,2853,14-10,16,0.9694811,1,False
5414,unknown,2854,14-10,16,0.96931833,1,False
5415,unknown,2855,14-10,16,0.96962166,1,False
5416,unknown,2856,14-10,16,0.96955764,1,False
5417,unknown,2857,14-10,16,0.96977204,1,False
5418,unknown,2858,14-10,16,0.9696265,1,False
5419,unknown,2859,14-10,16,0.9691262,1,False
5420,unknown,2860,14-10,16,0.9693472,1,False
5421,unknown,2861,14-10,16,0.9691876,1,False
5422,unknown,2862,14-10,16,0.9690247,1,False
5423,unknown,2863,14-10,16,0.96961176,1,False
5424,unknown,2864,14-10,16,0.968938,1,False
5425,unknown,2865,14-10,16,0.96965593,1,False
5426,unknown,2866,14-10,16,0.9693318,1,False
5427,unknown,2867,14-10,16,0.969242,1,False
5428,unknown,2868,14-10,16,0.9696537,1,False
5429,unknown,2869,14-10,16,0.9698482,1,False
5430,unknown,2870,14-10,16,0.96981186,1,False
5431,unknown,2871,14-10,16,0.9696959,1,False
5432,unknown,2872,14-10,16,0.96961015,1,False
5433,unknown,2873,14-10,16,0.9691083,1,False
5434,unknown,2874,14-10,16,0.96971035,1,False
5435,unknown,2875,14-10,16,0.9694289,1,False
5436,unknown,2876,14-10,16,0.97006595,1,False
